"ZSName","EKoord","NKoord","vsys"
"Seestrasse (Strandbad Wollishofen)",2683009.89,1243936.2,"miv"
"Seestrasse (Strandbad Wollishofen)",2683013.18,1243937.64,"miv"
"Albisstrasse (Widmerstrasse)",2682480.51,1243162.5,"miv"
"Albisstrasse (Widmerstrasse)",2682484.91,1243162.41,"miv"
"Sood-/Leimbachstrasse",2681573.79,1242969.91,"miv"
"Sood-/Leimbachstrasse",2681607.86,1243010.95,"miv"
"Birmensdorferstrasse (Triemli)",2679762.52,1246863.95,"miv"
"Birmensdorferstrasse (Triemli)",2679771.84,1246852.29,"miv"
"Albisriederstrasse (Lyrenweg)",2678874.03,1247598.55,"miv"
"Albisriederstrasse (Lyrenweg)",2678871.97,1247592.79,"miv"
"Badenerstrasse (Hermetschloobrücke)",2678023.77,1249754.67,"miv"
"Badenerstrasse (Hermetschloobrücke)",2678017.34,1249747.52,"miv"
"Limmattalstrasse (Frankentalerstrasse)",2678639.3,1251013.35,"miv"
"Limmattalstrasse (Frankentalerstrasse)",2678533.23,1250991.72,"miv"
"Regensdorferstrasse (Frankentalerstrasse)",2678841.72,1252207.33,"miv"
"Regensdorferstrasse (Frankentalerstrasse)",2678836.59,1252206.8,"miv"
"Schaffhauserstrasse (Glatttalstrasse)",2683993.98,1253123.36,"miv"
"Schaffhauserstrasse (Glatttalstrasse)",2683989.6,1253125.84,"miv"
"Thurgauerstrasse (Schärenmoosstrasse)",2684310.47,1252727.56,"miv"
"Thurgauerstrasse (Schärenmoosstrasse)",2684306.94,1252690.68,"miv"
"Weststrasse (Ueberlandstrasse)",2686139.38,1251547.6,"miv"
"Weststrasse (Ueberlandstrasse)",2686130.26,1251546.14,"miv"
"Neue Winterthurerstrasse (Ueberlandstrasse)",2687021.11,1251261.03,"miv"
"Neue Winterthurerstrasse (Ueberlandstrasse)",2687010.56,1251264.63,"miv"
"Ueberlandstrasse (Neue Winterthurerstrasse)",2687005.31,1251174.49,"miv"
"Ueberlandstrasse (Neue Winterthurerstrasse)",2687010.02,1251185.21,"miv"
"Dübendorfstrasse (Altwiesenstrasse)",2687080.9,1250340.44,"miv"
"Dübendorfstrasse (Altwiesenstrasse)",2687080.72,1250344.37,"miv"
"Witikonerstrasse (Katzenschwanzstrasse)",2687630.91,1246201.94,"miv"
"Witikonerstrasse (Katzenschwanzstrasse)",2687628.72,1246207.3,"miv"
"Forchstrasse (Witellikerstrasse)",2685897.8,1245406.61,"miv"
"Forchstrasse (Witellikerstrasse)",2685961.74,1245348.47,"miv"
"Bellerivestrasse (Bahnhof Tiefenbrunnen)",2684868.02,1244845.23,"miv"
"Bellerivestrasse (Bahnhof Tiefenbrunnen)",2684905.26,1244804.51,"miv"
"Allmendstrasse (Brunau)",2681701.49,1244599.72,"miv"
"Allmendstrasse (Brunau)",2681748.24,1244565.5,"miv"
"Kornhausbrücke",2682767.55,1249026.65,"miv"
"Kornhausbrücke",2682755.37,1249023.49,"miv"
"Rudolf Brun-Brücke",2683386.15,1247648.25,"miv"
"Rudolf Brun-Brücke",2683325.2,1247645.47,"miv"
"Quaibrücke",2683399.15,1246811.72,"miv"
"Quaibrücke",2683361.41,1246789.19,"miv"
"Binzmühlestrasse (Thurgauerstrasse)",2683912.36,1252088.07,"miv"
"Binzmühlestrasse (Thurgauerstrasse)",2683913.58,1252071.86,"miv"
"Milchbucktunnel (Südportal)",2682974.4,1248893.38,"miv"
"Milchbucktunnel (Südportal)",2682953.4,1248912.91,"miv"
"Emil Klöti-Strasse (Gsteigstrasse)",2680448.99,1251086.36,"miv"
"Emil Klöti-Strasse (Gsteigstrasse)",2680464.92,1251077.69,"miv"
"Gutstrasse (Burstwiesenstrasse)",2680544.57,1247408.57,"miv"
"Gutstrasse (Burstwiesenstrasse)",2680550.91,1247394.08,"miv"
"Schweighofstrasse (Hägelerweg)",2680283.75,1246891.47,"miv"
"Schweighofstrasse (Hägelerweg)",2680283.25,1246881.41,"miv"
"Bergstrasse (Schneckenmannstrasse)",2684724.39,1247752.19,"miv"
"Bergstrasse (Schneckenmannstrasse)",2684723.22,1247762.38,"miv"
"Hardbrücke (SBB PJZ)",2681286.9,1248596.51,"miv"
"Gessnerallee (Usteribrücke)",2682836.17,1247804.28,"miv"
"Gessnerallee (Usteribrücke)",2682889.23,1247807.07,"miv"
"Limmatquai (Rudolf-Brun-Brücke)",2683405.82,1247669.65,"miv"
"Uraniastrasse (Bahnhofstrasse)",2683081.42,1247664.83,"miv"
"Uraniastrasse (Bahnhofstrasse)",2683078.85,1247647.59,"miv"
"Talstrasse (Pelikanstrasse)",2682833.88,1247221.96,"miv"
"Talstrasse (Pelikanstrasse)",2682837.98,1247228.78,"miv"
"Zeltweg (Merkurstrasse)",2684205.99,1246807.88,"miv"
"Zeltweg (Merkurstrasse)",2684191.84,1246842.02,"miv"
"Rämistrasse (Stadelhoferstrasse)",2683669.44,1246937.44,"miv"
"Rämistrasse (Stadelhoferstrasse)",2683639.46,1246923.62,"miv"
"Bahnhofbrücke",2683409.33,1247916.89,"miv"
"Bahnhofbrücke",2683341.26,1247938.79,"miv"
"Europabrücke (Max Högger- und Würzgrabenstrasse)",2679597.69,1249679.24,"miv"
"Europabrücke (Max Högger- und Würzgrabenstrasse)",2679589.59,1249680.65,"miv"
"Seebacherstrasse (Binzmühlestrasse)",2681647.71,1252103.54,"miv"
"Seebacherstrasse (Binzmühlestrasse)",2681644.06,1252105.94,"miv"
"Hirschwiesentunnel",2682984.46,1250310.11,"miv"
"Hirschwiesentunnel",2682982.87,1250316.11,"miv"
"Birchstrasse (Eichraintunnel)",2683792.79,1253795.29,"miv"
"Birchstrasse (Eichraintunnel)",2683775.9,1253804.18,"miv"
"Rämistrasse (Kantonsschul- und Zürichbergstrasse)",2683959.68,1247473.33,"miv"
"Rämistrasse (Kantonsschul- und Zürichbergstrasse)",2683969.38,1247478.98,"miv"
"Höschgasse (Zollikerstrasse)",2684533.15,1245997.77,"miv"
"Höschgasse (Zollikerstrasse)",2684538.56,1245994.09,"miv"
"Zollikerstrasse (Höschgasse)",2684570.33,1245963.48,"miv"
"Zollikerstrasse (Höschgasse)",2684575.79,1245967.47,"miv"
"Stockerstrasse (Dreikönigstrasse)",2682816.79,1246823.7,"miv"
"Stockerstrasse (Dreikönigstrasse)",2682812.4,1246821.41,"miv"
"Stampfenbachstrasse (Wasserwerkstrasse)",2683379.96,1248329.67,"miv"
"Stampfenbachstrasse (Wasserwerkstrasse)",2683370.8,1248325.77,"miv"
"Neumühlequai (Sanität)",2683238.97,1248431.3,"miv"
"Neumühlequai (Sanität)",2683200.49,1248492.25,"miv"
"Duttweiler Brücke",2681022.02,1249303.64,"miv"
"Duttweiler Brücke",2681041.14,1249300.71,"miv"
"Brunaustrasse (Rieterstrasse)",2682150.75,1245401.35,"miv"
"Brunaustrasse (Rieterstrasse)",2682141.89,1245399.4,"miv"
"Albisriederstrasse (Hubertus)",2680111.39,1247945.02,"miv"
"Albisriederstrasse (Hubertus)",2680119.19,1247929.69,"miv"
"Gutstrasse (Hubertus)",2680149.109,1247840.135,"miv"
"Gutstrasse (Hubertus)",2680149.561,1247829.965,"miv"
"Stauffacherstrasse (Feldstrasse)",2681813.28,1247994.07,"miv"
"Stauffacherstrasse (Feldstrasse)",2681828.48,1247992.53,"miv"
"Manessestrasse (Stauffacherquai)",2682225.55,1247066.11,"miv"
"Schimmelstrasse (Werdstrasse)",2682050.28,1247164.9,"miv"
"Schimmelstrasse (Werdstrasse)",2682054,1247168,"miv"
"Seebahnstrasse (Stauffacherstrasse)",2681637.49,1248112.09,"miv"
"Seebahnstrasse (Stauffacherstrasse)",2681612,1248083,"miv"
"Hohlstrasse (Erismannstrasse)",2681629.07,1248307.08,"miv"
"Hohlstrasse (Erismannstrasse)",2681629.46,1248290.46,"miv"
"Badenerstrasse (Zypressenstrasse)",2681183.65,1247898.67,"miv"
"Badenerstrasse (Zypressenstrasse)",2681175.41,1247887.5,"miv"
"Manessestrasse (Weststrasse)",2682047.59,1247026.35,"miv"
"Manessestrasse (Weststrasse)",2682055,1247019,"miv"
"Stauffacherbrücke",2682474.28,1247275.42,"miv"
"Stauffacherbrücke",2682509.27,1247271.02,"miv"
"Stauffacherquai (Stauffacherbrücke)",2682467.01,1247308.4,"miv"
"Stauffacherstrasse (Stauffacherbrücke)",2682475.72,1247274.81,"miv"
"Stauffacherstrasse (Stauffacherbrücke)",2682438.72,1247315.24,"miv"
"Pfingstweidstrasse (Sportweg)",2680534,1249530,"miv"
"Pfingstweidstrasse (Sportweg)",2680408,1249570,"miv"
"Sihlhölzlibrücke (Ulmbergtunnel)",2682331.58,1247014.38,"miv"
"Birmensdorferstrasse (Wasserschöpfi)",2680570,1247051,"miv"
"Birmensdorferstrasse (Wasserschöpfi)",2680627,1247048,"miv"
"A3W (Chur Brunau)",2681720.14,1244585.09,"miv"
"A3W (Chur Brunau)",2681728.49,1244579.52,"miv"
"Pfingstweidstrasse (Welti Furrer Ausfahrt)",2681455.2,1249140.27,"miv"
"Pfingstweidstrasse (Welti Furrer Ausfahrt)",2681492.61,1249103.94,"miv"
"Hardbrücke (Hardstrasse)",2681290.57,1248593.98,"miv"
"Hardbrücke (Hardstrasse)",2681286.9,1248596.51,"miv"
"Hardbrücke Rampen (Hohlstrasse)",2681323.95,1248627.21,"miv"
"Hardbrücke Rampen (Hohlstrasse)",2681302.84,1248632.97,"miv"
"Angererstrasse Tunnelstrasse (Ulmbergtunnel)",2682575,1246766,"miv"
"Angererstrasse Tunnelstrasse (Ulmbergtunnel)",2682555,1246755,"miv"
"Alfred-Escher-Strasse (Ulmbergtunnel)",2682568,1246765,"miv"
"Alfred-Escher-Strasse (Ulmbergtunnel)",2682562,1246759,"miv"
"Binzmuehlestrasse (Seebacherstrasse)",2681645,1252090,"miv"
"Binzmuehlestrasse (Seebacherstrasse)",2681650,1252084,"miv"
"Wehntalerstrasse (Nordheimstrasse)",2682671,1250955,"miv"
"Wehntalerstrasse (Nordheimstrasse)",2682668,1250941,"miv"
